# Partition function polynomial coefficients for species not well-represented by
# the ATLAS9 encoded scheme (NUDATA).
# Formula: log10(U) = C1 + C2*x + C3*x^2 + C4*x^3 + C5*x^4 + C6*x^5
#          where x = log10(T)
# Source: Irwin (1981), as implemented in MOOG (Sneden et al.)
# To update: edit existing rows or append new ones.  The loader assigns
# row indices in file order and rebuilds PARTFLAG automatically — no manual
# index management required.  Z and ion (1=neutral, 2=singly ionised, etc.)
# uniquely identify each entry.
Z,ion,label,C1,C2,C3,C4,C5,C6
24,2,Cr II,2.66384894e+3,-1.68227473e+3,4.22830259e+2,-5.28071678e+1,3.27472214e+0,-8.05963460e-2
37,1,Rb I,5.03676283e+3,-3.16069504e+3,7.89175381e+2,-9.79501783e+1,6.04047992e+0,-1.47981323e-1
42,2,Mo II,4.16034835e+3,-2.65480884e+3,6.74631372e+2,-8.52665787e+1,5.35745654e+0,-1.33793443e-1
59,1,Pr I,-3.04466224e+3,1.88966140e+3,-4.64804826e+2,5.66502603e+1,-3.42059183e+0,8.19184298e-2
59,2,Pr II,-1.91609088e+3,1.18545447e+3,-2.90543602e+2,3.52740316e+1,-2.12000090e+0,5.04914504e-2
60,1,Nd I,-1.64889203e+3,9.47177848e+2,-2.12837179e+2,2.33051095e+1,-1.23575686e+0,2.52043511e-2
60,2,Nd II,-2.06698421e+2,9.79972763e+1,-1.55582617e+1,7.28892861e-1,3.56166693e-2,-2.95215536e-3
64,1,Gd I,1.83011048e+3,-1.19539486e+3,3.10632505e+2,-4.00859062e+1,2.56842403e+0,-6.53128117e-2
65,1,Tb I,5.85584746e+2,-3.89743229e+2,1.03759088e+2,-1.37350828e+1,9.03674535e-1,-2.35845042e-2
65,2,Tb II,-9.48002791e+2,6.16808235e+2,-1.58524150e+2,2.01610509e+1,-1.26856460e+0,3.16355813e-2
66,1,Dy I,3.53878819e+3,-2.31997287e+3,6.06023177e+2,-7.87382964e+1,5.08456496e+0,-1.30426644e-1
66,2,Dy II,2.77061687e+3,-1.78523018e+3,4.58361896e+2,-5.85341812e+1,3.71600397e+0,-9.37402524e-2
67,2,Ho II,1.34187596e+3,-8.52533583e+2,2.15784324e+2,-2.71271661e+1,1.69281185e+0,-4.19020326e-2
68,1,Er I,2.02411710e+3,-1.35836078e+3,3.62878018e+2,-4.81385931e+1,3.16795944e+0,-8.26308027e-2
68,2,Er II,1.62058945e+3,-1.06472504e+3,2.78625547e+2,-3.62193240e+1,2.33715989e+0,-5.98219225e-2
70,1,Yb I,7.47839800e+3,-4.67427018e+3,1.16206341e+3,-1.43581759e+2,8.81293038e+0,-2.14850223e-1
71,2,Lu II,2.44026764e+3,-1.59016793e+3,4.12298445e+2,-5.31395892e+1,3.40232351e+0,-8.65004469e-2
90,1,Th I,4.76054139e+2,-3.25783548e+2,8.97134083e+1,-1.23483587e+1,8.46088455e-1,-2.29570332e-2
90,2,Th II,-1.22179869e+3,7.59698688e+2,-1.86944859e+2,2.27591989e+1,-1.37021999e+0,3.26865578e-2
92,2,U II,-2.76709404e+2,1.30426239e+2,-2.06221054e+1,9.83307627e-1,4.19297328e-2,-3.60428836e-3
63,3,Eu III,-2.02846263e+3,1.24521575e+3,-3.04725159e+2,3.72010364e+1,-2.26584074e+0,5.50893177e-2
65,3,Tb III,8.11558123e+2,-4.67434582e+2,1.07583056e+2,-1.23251149e+1,7.02860514e-1,-1.59394115e-2
66,3,Dy III,1.30822682e+3,-7.46679156e+2,1.69716518e+2,-1.91592590e+1,1.07376244e+0,-2.38653520e-2
67,3,Ho III,6.98122851e+3,-4.11418184e+3,9.66307217e+2,-1.13063284e+2,6.59141456e+0,-1.53163679e-1
68,3,Er III,2.65562213e+3,-1.49666461e+3,3.34740125e+2,-3.70678109e+1,2.02963822e+0,-4.38640816e-2
90,3,Th III,7.10076650e+3,-4.15762991e+3,9.69365844e+2,-1.12510812e+2,6.50161887e+0,-1.49626283e-1
92,3,U III,5.18480529e+3,-3.02564444e+3,7.03396006e+2,-8.14028851e+1,4.68959696e+0,-1.07563314e-1
77,2,Ir II,2.33935909e+2,-1.43786065e+2,3.57641903e+1,-4.45430703e+0,2.77258541e-1,-6.86047013e-3
